,GNB.capita,inflation,unemployement,external.trade,population,area
South Africa,2810,14.7,0.0,6.3,36.8,1.22
Algeria,1540,50.0,24.3,4.2,26.1,2.38
Germany,24130,3.5,5.1,23.5,81.0,0.35
Saudi Arabia,7328,4.4,0.0,22.1,14.8,2.15
Brazil,2400,440.8,4.8,10.5,153.0,8.51
Egypt,620,19.8,17.5,-5.9,56.1,1.0
USA,21890,4.2,6.7,-73.4,255.0,9.36
Ethiopia,110,35.7,0.0,-0.6,54.6,1.22
Finland,25800,4.1,7.7,2.2,5.0,0.33
France,21030,3.2,9.4,-10.1,57.2,0.55
Kuwait,14000,3.3,0.0,20.0,1.3,0.02
Tunisia,1350,8.2,15.0,-0.9,8.6,0.16
