"","bell_pepper","butter","cayenne","cilantro","coriander","corn","cream","cumin","egg","fish","garlic","ginger","lime_juice","olive_oil","onion","rice","scallion","soy_sauce","tomato","turmeric","vegetable_oil","wheat"
"African",36,24,41,28,32,4,4,49,23,9,57,30,5,60,61,12,6,1,29,18,20,30
"American",481,2219,653,289,139,516,1238,290,1738,201,1267,394,227,1512,1254,161,360,113,665,76,926,1574
"Asian",155,69,345,244,157,59,42,98,161,228,565,576,195,78,167,482,453,588,68,94,426,112
"Cajun",50,53,82,1,2,15,18,5,37,7,71,7,4,42,102,38,42,3,46,0,50,45
"LatinAmer",40,56,125,75,12,79,44,58,51,8,137,2,41,75,131,15,34,3,100,2,50,47
"Chinese",18,11,49,37,9,19,5,2,35,13,116,140,5,3,24,86,107,150,8,2,68,29
"Russian",17,88,7,3,2,6,49,3,74,5,33,3,1,24,56,7,6,0,20,0,29,72
"British",4,137,3,4,6,5,84,6,109,6,19,10,3,27,36,1,3,0,9,5,29,127
"French",52,488,38,7,23,27,269,16,433,68,272,39,8,307,236,18,21,3,128,8,105,355
"German",1,29,0,0,0,5,8,1,22,1,9,3,0,3,25,1,1,0,6,0,12,26
"Greek",27,45,11,2,4,1,12,8,49,12,100,1,0,171,82,15,22,0,75,0,6,54
"Indian",45,52,125,79,128,12,18,160,34,11,114,117,26,40,113,51,25,2,58,127,120,38
"Irish",3,51,1,0,2,2,23,0,40,3,8,2,0,3,22,0,4,0,7,0,19,43
"Italian",242,474,113,4,12,80,259,7,452,125,774,14,3,1124,480,92,47,5,518,2,90,430
"Japanese",15,8,15,8,5,1,4,3,16,23,27,48,13,9,11,62,49,83,2,3,54,16
"Jewish",18,98,21,18,15,4,28,20,190,14,60,20,3,80,97,3,22,0,30,7,87,156
"MedTerra",52,41,30,13,15,7,15,30,56,39,146,5,1,230,112,20,20,0,101,8,22,60
"Mexican",71,93,441,251,40,220,108,140,106,24,353,4,159,179,378,23,85,4,305,2,165,127
"MidEast",41,53,46,40,40,8,11,85,38,6,116,15,6,149,88,19,31,4,58,22,30,94
"Marroc",44,26,40,43,46,2,4,75,8,10,63,37,3,100,68,3,6,0,33,21,13,57
"Scandinav",3,49,0,1,8,2,29,6,38,2,4,5,2,10,22,0,3,0,3,4,24,27
"Southern",63,200,84,5,6,103,71,15,144,2,89,17,4,47,100,16,49,2,33,4,66,168
"Southwest",33,15,88,56,7,42,19,36,17,0,67,2,29,43,66,3,23,4,43,0,23,17
"Iberic",100,42,70,30,4,14,30,28,79,24,167,6,15,183,126,24,9,1,95,3,36,46
"Thai",27,11,77,67,69,6,6,54,13,89,93,64,61,12,26,66,47,38,22,44,67,12
"Viet",8,5,30,24,7,2,1,2,9,51,47,16,30,2,19,31,22,15,3,8,31,3
